NO,기업명,기업코드,ESG등급,지배구조,사회,환경,평가년도,비고
463, 신대양제지,016590,C이하,C,B,C이하,2019,
462, 신도리코,029530,B+,B+,B+,B,2019,
461, 신라교역,004970,C이하,C,B,C이하,2019,
460, 신라젠,215600,C이하,B+,C이하,C이하,2019,
459, 신성이엔지,011930,B,B,B,B,2019,
458, 신성통상,005390,C이하,C,C이하,C이하,2019,
457, 신세계,004170,B+,B+,A,B+,2019,
456, 신세계I&C,035510,B+,B+,B+,B,2019,
455, 신세계건설,034300,B,B+,B,C이하,2019,
454, 신세계인터내셔날,031430,B+,B+,A,B,2019,
453, 신세계푸드,031440,B+,B+,B+,B,2019,
452, 신송홀딩스,006880,B,B,B,C이하,2019,
451, 신영와코루,005800,C이하,C,B,C이하,2019,
450, 신영증권,001720,B,B+,B,C이하,2019,금융회사
449, 신원,009270,C이하,D,C이하,C이하,2019,
448, 신일산업,002700,C이하,B,B,C이하,2019,
447, 신풍제약,019170,B,B+,B,C이하,2019,
446, 신풍제지,002870,B+,B+,B,B+,2019,
445, 신한,005450,C이하,D,C이하,C이하,2019,
444, 신한금융투자,008670,,B,,,2019,금융회사
443, 신한생명보험,828992,,B+,,,2019,금융회사
442, 신한은행,000010,,B+,,,2019,금융회사
441, 신한지주,055550,A+,A+,B+,A+,2019,금융회사
440, 신한카드,032710,,A,,,2019,금융회사
439, 신한캐피탈,811323,,B+,,,2019,금융회사
438, 신화실업,001770,C이하,D,C이하,C이하,2019,
437, 신화인터텍,056700,C이하,C,B,B,2019,
436, 신흥,004080,B,B,B,C이하,2019,
435, 실리콘웍스,108320,B,B+,B+,C이하,2019,
434, 쌍방울,102280,C이하,C,B,C이하,2019,
433, 쌍용양회공업,003410,B+,B+,B+,B+,2019,
432, 쌍용자동차,003620,B,B,B,B+,2019,
431, 써니전자,004770,C이하,B,B,C이하,2019,
430, 씨아이테크,004920,C이하,C,C이하,C이하,2019,
429, 씨에스윈드,112610,B,B+,C이하,B,2019,
428, 씨젠,096530,C이하,C,C이하,C이하,2019,
427, 씨티은행,016830,,A,,,2019,금융회사
426, 아남전자,008700,C이하,C,C이하,C이하,2019,
425, 아모레퍼시픽,090430,A,B+,A+,A,2019,
424, 아모레퍼시픽그룹,002790,A,B+,A+,A,2019,
423, 아미코젠,092040,C이하,C,B,C이하,2019,
422, 아세아,002030,C이하,C,B,B,2019,
421, 아세아시멘트,183190,B,C,A,A,2019,
420, 아세아제지,002310,B,B,C이하,B,2019,
419, 아시아나항공,020560,B,C,B+,B+,2019,
418, 아이마켓코리아,122900,B,B+,B+,C이하,2019,
417, 아이비케이연금보험,829322,,B,,,2019,금융회사
416, 아이에스동서,010780,C이하,B,C이하,B,2019,
415, 아이에이치큐,003560,B,B+,C이하,C이하,2019,
414, 아주캐피탈,033660,B,B+,B+,C이하,2019,금융회사
413, 아트라스BX,023890,B+,B+,B,B,2019,
412, 안랩,053800,B,B+,B+,C이하,2019,
411, 알루코,001780,C이하,B,B,C이하,2019,
410, 애경유화,161000,B,B,C이하,B+,2019,
409, 에넥스,011090,C이하,C,B+,B,2019,
408, 에버다임,041440,B+,B+,B+,B,2019,
407, 에스에프에이,056190,B+,B+,B,B,2019,
406, 에스엘,005850,C이하,C,B+,B,2019,
405, 에스엠,041510,C이하,C,B,C이하,2019,
404, 에스엠코어,007820,B,B,C이하,B,2019,
403, 에스원,012750,B+,B+,B+,B,2019,
402, 에스제이엠,123700,C이하,B,B,C이하,2019,
401, 에스제이엠홀딩스,025530,B,B+,B,C이하,2019,
400, 에스티팜,237690,B,B+,B,C이하,2019,
399, 에쓰씨엔지니어링,023960,C이하,C,C이하,B,2019,
398, 에이블씨엔씨,078520,C이하,C,C이하,C이하,2019,
397, 에이비엘생명보험,804337,,B,,,2019,금융회사
396, 에이아이에이생명보험,801688,,B,,,2019,금융회사
395, 에이엔피,015260,C이하,D,C이하,B,2019,
394, 에이치엘비,028300,C이하,C,C이하,C이하,2019,
393, 에이프로젠 KIC,007460,C이하,C,C이하,B,2019,
392, 에이프로젠제약,003060,C이하,D,C이하,C이하,2019,
391, 에코프로,086520,B,B,B+,C이하,2019,
390, 엔씨소프트,036570,B,B+,B,C이하,2019,
389, 엔에스쇼핑,138250,B,B+,B+,C이하,2019,
388, 엔에이치엔,181710,B,B+,B,C이하,2019,
387, 엔케이,085310,C이하,D,C이하,B,2019,
386, 엔케이물산,009810,C이하,C,C이하,C이하,2019,
385, 엔피씨,004250,C이하,C,C이하,C이하,2019,
384, 엘앤에프,066970,C이하,C,B+,B,2019,
383, 영보화학,014440,B,B,B,B,2019,
382, 영원무역,111770,C이하,B,C이하,C이하,2019,
381, 영원무역홀딩스,009970,C이하,B,C이하,C이하,2019,
380, 영진약품,003520,B,B,B,C이하,2019,
379, 영풍,000670,C이하,C,C이하,C이하,2019,
378, 영풍정밀,036560,B,B+,C이하,B,2019,
377, 영풍제지,006740,C이하,C,C이하,B,2019,
376, 영화금속,012280,C이하,B,C이하,C이하,2019,
375, 영흥철강,012160,C이하,B,B,C이하,2019,
374, 예스코홀딩스,015360,B,B+,B+,C이하,2019,
373, 오뚜기,007310,B+,B+,A,B+,2019,
372, 오렌지라이프,079440,B,B+,B+,C이하,2019,금융회사
371, 오리엔트바이오,002630,B,B,B,B,2019,
370, 오리온,271560,B+,B+,B,B,2019,
369, 오리온홀딩스,001800,B+,B+,B+,C이하,2019,
368, 오리콤,010470,B,B,B,C이하,2019,
367, 오스템임플란트,048260,B,B+,B,C이하,2019,
366, 와이지-원,019210,B,B+,B+,C이하,2019,
365, 와이지엔터테인먼트,122870,C이하,C,B,C이하,2019,
364, 용평리조트,070960,B,B,B,B,2019,
363, 우리들제약,004720,C이하,C,B,C이하,2019,
362, 우리들휴브레인,118000,C이하,C,B,C이하,2019,
361, 우리은행,000030,,C이하,,,2019,금융회사
360, 우리종금,010050,C이하,C이하,C이하,C이하,2019,금융회사
359, 우리카드,879070,,B+,,,2019,금융회사
358, 우성사료,006980,C이하,C,B,C이하,2019,
357, 우신시스템,017370,B,B,C이하,B,2019,
356, 우진,105840,B,B,B,B,2019,
355, 우진플라임,049800,B,B,B,B,2019,
354, 웅진,016880,C이하,C,B,C이하,2019,
353, 웅진씽크빅,095720,B,B+,B,C이하,2019,
352, 웅진코웨이,021240,A,B+,A,A+,2019,
351, 원림,005820,C이하,B,C이하,C이하,2019,
350, 원익IPS,240810,C이하,C,B+,C이하,2019,
349, 원익홀딩스,030530,C이하,C,B+,C이하,2019,
348, 웰바이오텍,010600,C이하,C,C이하,C이하,2019,
347, 웹젠,069080,C이하,C,B,C이하,2019,
346, 위메이드,112040,B,B,B,C이하,2019,
345, 윌비스,008600,C이하,C,C이하,C이하,2019,
344, 유나이티드,033270,B+,B,A,B,2019,
343, 유니드,014830,B,B,C이하,B,2019,
342, 유니온,000910,C이하,C,B+,C이하,2019,
341, 유니온머티리얼,047400,C이하,B,B,C이하,2019,
340, 유니켐,011330,B,B+,C이하,B,2019,
339, 유니퀘스트,077500,B,B+,C이하,C이하,2019,
338, 유성기업,002920,C이하,C,B,B,2019,
337, 유수홀딩스,000700,B,B+,B+,C이하,2019,
336, 유안타증권,003470,B,B,B,C이하,2019,금융회사
335, 유양디앤유,011690,B,B,B,B,2019,
334, 유엔젤,072130,C이하,C,C이하,B,2019,
333, 유유제약,000220,B,B+,C이하,B,2019,
332, 유진기업,023410,C이하,D,C이하,C이하,2019,
331, 유진증권,001200,C이하,B,C이하,C이하,2019,금융회사
330, 유진테크,084370,B,B,B+,C이하,2019,
329, 유한양행,000100,B+,B+,B+,B+,2019,
328, 유화증권,003460,C이하,C이하,C이하,C이하,2019,금융회사
327, 율촌화학,008730,B,B+,B+,C이하,2019,
326, 이건산업,008250,C이하,C,C이하,C이하,2019,
325, 이구산업,025820,B,B,C이하,B,2019,
324, 이노션,214320,B+,B+,B+,C이하,2019,
323, 이녹스첨단소재,272290,C이하,B,C이하,C이하,2019,
322, 이니텍,053350,B,B,B,C이하,2019,
321, 이마트,139480,B+,B+,A,B+,2019,
320, 이베스트투자증권,078020,B,B,B,C이하,2019,금융회사
319, 이수페타시스,007660,B,C,B+,B+,2019,
318, 이수화학,005950,B,B,B,B,2019,
317, 이스타코,015020,C이하,C,C이하,C이하,2019,
316, 이아이디,093230,C이하,C,C이하,C이하,2019,
315, 이연제약,102460,B,B+,B,C이하,2019,
314, 이오테크닉스,039030,C이하,C,B,B,2019,
313, 이월드,084680,C이하,C,C이하,C이하,2019,
312, 이테크건설,016250,B,B,B,B,2019,
311, 이화산업,000760,C이하,C,C이하,C이하,2019,
310, 인디에프,014990,C이하,C,B,C이하,2019,
309, 인바디,041830,C이하,B,C이하,C이하,2019,
308, 인스코비,006490,C이하,C,B,B,2019,
307, 인지컨트롤스,023800,C이하,C,B,B,2019,
306, 인천도시가스,034590,B,B+,B,C이하,2019,
305, 인터지스,129260,B+,B+,B+,B,2019,
304, 인터플렉스,051370,C이하,C,B,B,2019,
303, 인트론바이오,048530,B,B,C이하,B,2019,
302, 인팩,023810,C이하,B,B,C이하,2019,
301, 일동제약,249420,B+,A,A,C이하,2019,
300, 일동홀딩스,000230,B+,B+,A,C이하,2019,
299, 일성건설,013360,C이하,C,C이하,B,2019,
298, 일성신약,003120,B,B,B,C이하,2019,
297, 일신방직,003200,C이하,B+,C이하,C이하,2019,
296, 일신석재,007110,C이하,C,C이하,C이하,2019,
295, 일양약품,007570,B,B,B,C이하,2019,
294, 일정실업,008500,C이하,C,C이하,B,2019,
293, 일진다이아,081000,C이하,B,B,C이하,2019,
292, 일진디스플,020760,B,B,C이하,B,2019,
291, 일진머티리얼즈,020150,B,B,B,B,2019,
290, 일진전기,103590,C이하,B,C이하,B,2019,
289, 일진홀딩스,015860,C이하,B,C이하,C이하,2019,
288, 잇츠한불,226320,B,B,B,B,2019,
287, 자화전자,033240,B,B,B,B,2019,
286, 전방,000950,C이하,C,B,C이하,2019,
285, 전북은행,006350,,A,,,2019,금융회사
284, 제낙스,065620,C이하,D,C이하,C이하,2019,
283, 제넥신,095700,C이하,B,B,C이하,2019,
282, 제이비우리캐피탈,818905,,A,,,2019,금융회사
281, 제이에스코퍼레이션,194370,C이하,B+,C이하,C이하,2019,
280, 제이준코스메틱,025620,C이하,B,C이하,C이하,2019,
279, 제이콘텐트리,036420,C이하,C,B,C이하,2019,
278, 제일기획,030000,B,B+,B+,C이하,2019,
277, 제일약품,271980,C이하,B,B,C이하,2019,
276, 제일연마,001560,C이하,B+,C이하,C이하,2019,
275, 제일파마홀딩스,002620,B,B,B,C이하,2019,
274, 제주은행,006220,B+,B+,B+,C이하,2019,금융회사
273, 제주항공,089590,B,B+,B,C이하,2019,
272, 조광페인트,004910,C이하,B,B,C이하,2019,
271, 조광피혁,004700,B,B,B,B,2019,
270, 조비,001550,C이하,C,B,C이하,2019,
269, 조선내화,000480,B,B,B,B,2019,
268, 조선선재,120030,C이하,B,C이하,C이하,2019,
267, 조일알미늄,018470,C이하,C,C이하,B,2019,
266, 조흥,002600,B,B,C이하,B,2019,
265, 종근당,185750,B,B,B+,C이하,2019,
264, 종근당바이오,063160,C이하,C,B,B,2019,
263, 종근당홀딩스,001630,B,B,B+,C이하,2019,
262, 주성엔지니어링,036930,B+,B+,B+,B+,2019,
261, 주연테크,044380,C이하,C,B,C이하,2019,
260, 지니뮤직,043610,B,B,B,C이하,2019,
259, 지엠비코리아,013870,C이하,B,C이하,C이하,2019,
258, 지역난방공사,071320,B+,B,A,B+,2019,
257, 지코,010580,C이하,B,C이하,C이하,2019,
256, 지투알,035000,B,B+,B+,C이하,2019,
255, 지트리비앤티,115450,C이하,B,C이하,C이하,2019,
254, 진도,088790,C이하,C,C이하,C이하,2019,
253, 진양산업,003780,C이하,B,C이하,C이하,2019,
252, 진양폴리우레탄,010640,C이하,C,C이하,C이하,2019,
251, 진양홀딩스,100250,B,B+,C이하,C이하,2019,
250, 진양화학,051630,C이하,C,C이하,C이하,2019,
249, 진에어,272450,B,B+,C이하,C이하,2019,
248, 진원생명과학,011000,C이하,C,C이하,C이하,2019,
247, 진흥기업,002780,B,B,B,B,2019,
246, 차바이오텍,085660,C이하,C,B,C이하,2019,
245, 참엔지니어링,009310,C이하,D,B,B,2019,
244, 천일고속,000650,B,B+,B,C이하,2019,
243, 청호컴넷,012600,B,B,C이하,B,2019,
242, 체시스,033250,C이하,B,B,C이하,2019,
241, 카카오,035720,B,B+,B+,C이하,2019,
240, 카프로,006380,B,B,B,B,2019,
239, 컨버즈,109070,C이하,D,C이하,C이하,2019,
238, 컴투스,078340,B,B,B,C이하,2019,
237, 케어젠,214370,C이하,B,C이하,C이하,2019,
236, 케이디비생명보험,807958,,B,,,2019,금융회사
235, 케이뱅크은행,800172,,A,,,2019,금융회사
234, 케이비아이동국실업,001620,C이하,C,C이하,B,2019,
233, 케이씨,029460,B,B,B+,B,2019,
232, 케이씨씨,002380,B,C,A,B+,2019,
231, 케이씨텍,281820,B,B,B+,B,2019,
230, 케이씨티시,009070,B,B,B+,B,2019,
229, 케이티,030200,B+,B+,B,A,2019,
228, 케이티스카이라이프,053210,B+,B+,B+,C이하,2019,
227, 케이티앤지,033780,A+,A+,A+,B+,2019,
226, 코리아써키트,007810,C이하,C,B,B,2019,
225, 코리아오토글라스,152330,B,B,C이하,B,2019,
224, 코리안리,003690,B,B+,B,C이하,2019,금융회사
223, 코미팜,041960,C이하,B,C이하,C이하,2019,
222, 코스맥스,192820,B,B,B,B,2019,
221, 코스맥스비티아이,044820,B,B+,B,C이하,2019,
220, 코스맥스엔비티,222040,C이하,B,B,C이하,2019,
219, 코스모신소재,005070,B+,B+,B,B+,2019,
218, 코스모화학,005420,C이하,C,C이하,B,2019,
217, 코아스,071950,B,B,C이하,B,2019,
216, 코오롱,002020,C이하,C,B,C이하,2019,
215, 코오롱글로벌,003070,B,B+,B,C이하,2019,
214, 코오롱머티리얼,144620,C이하,B,B,C이하,2019,
213, 코오롱생명과학,102940,C이하,D,C이하,C이하,2019,
212, 코오롱인더,120110,B+,B+,B+,B+,2019,
211, 코오롱플라스틱,138490,B+,B+,B+,B+,2019,
210, 코웰패션,033290,C이하,C,B,C이하,2019,
209, 콜마비앤에이치,200130,C이하,B+,C이하,C이하,2019,
208, 콤텍시스템,031820,C이하,C,B,C이하,2019,
207, 쿠쿠홀딩스,192400,C이하,B,C이하,C이하,2019,
206, 큐로,015590,B,B,C이하,B,2019,
205, 크라운제과,264900,B,B,B+,C이하,2019,
204, 크라운해태홀딩스,005740,B,B,B+,C이하,2019,
203, 크리스탈,083790,C이하,B+,C이하,C이하,2019,
202, 클리오,237880,C이하,B+,C이하,C이하,2019,
201, 키다리스튜디오,020120,B,B,B,B,2019,
200, 키움증권,039490,B,B,B,C이하,2019,금융회사
199, 키위미디어그룹,012170,C이하,C,B,C이하,2019,
198, 태경산업,015890,C이하,B,C이하,C이하,2019,
197, 태경화학,006890,C이하,C,C이하,C이하,2019,
196, 태광산업,003240,C이하,C,B+,C이하,2019,
195, 태림포장,011280,C이하,C,C이하,B,2019,
194, 태양금속공업,004100,B,B,B,B+,2019,
193, 태영건설,009410,B,B+,B,C이하,2019,
192, 태원물산,001420,C이하,B,C이하,C이하,2019,
191, 태평양물산,007980,C이하,B,B+,C이하,2019,
190, 테스,095610,C이하,B,B,C이하,2019,
189, 테이팩스,055490,C이하,C,B,C이하,2019,
188, 텔코웨어,078000,C이하,B,C이하,C이하,2019,
187, 텔콘RF제약,200230,C이하,C,C이하,C이하,2019,
186, 토니모리,214420,C이하,B+,C이하,C이하,2019,
185, 톱텍,108230,C이하,C,C이하,C이하,2019,
184, 티비에이치글로벌,084870,B,B,B+,C이하,2019,
183, 티씨케이,064760,C이하,C,B,C이하,2019,
182, 티에이치엔,019180,C이하,B,B,C이하,2019,
181, 티웨이홀딩스,004870,C이하,D,B,C이하,2019,
180, 티케이케미칼,104480,C이하,C,B,B,2019,
179, 파라다이스,034230,B,B,B,C이하,2019,
178, 파마리서치프로덕트,214450,C이하,B,B,C이하,2019,
177, 파미셀,005690,B,B,C이하,B,2019,
176, 파트론,091700,B,B,B+,C이하,2019,
175, 팜스코,036580,B,B+,B,C이하,2019,
174, 팬오션,028670,B,B+,C이하,B,2019,
173, 퍼스텍,010820,B,B,B,B,2019,
172, 퍼시스,016800,B,B,B,B,2019,
171, 펄어비스,263750,C이하,B,C이하,C이하,2019,
170, 페이퍼코리아,001020,C이하,C,B,B,2019,
169, 펩트론,087010,B,B+,B,C이하,2019,
168, 평화산업,090080,B,B,B,B,2019,
167, 평화홀딩스,010770,B,B,B,C이하,2019,
166, 포스코,005490,A,A+,B+,B,2019,
165, 포스코 ICT,022100,B,B,B+,B,2019,
164, 포스코강판,058430,B+,B+,A,B+,2019,
163, 포스코엠텍,009520,B+,B+,A,B,2019,
162, 포스코인터내셔널,047050,A+,A+,A+,A,2019,
161, 포스코케미칼,003670,B+,B+,B+,B,2019,
160, 푸르덴셜생명보험,839185,,B+,,,2019,금융회사
159, 푸본현대생명보험,860086,,B+,,,2019,금융회사
158, 풀무원,017810,A+,A+,A+,A,2019,
157, 풍산,103140,B+,B+,B+,B+,2019,
156, 풍산홀딩스,005810,B+,B+,B+,B,2019,
155, 피에스케이홀딩스,031980,C이하,C,B,C이하,2019,
154, 필룩스,033180,B,B,B,B,2019,
153, 하나금융지주,086790,A,A,A,A,2019,금융회사
152, 하나금융투자,805992,,B+,,,2019,금융회사
151, 하나은행,004940,,B,,,2019,금융회사
150, 하나카드,856659,,B+,,,2019,금융회사
149, 하나캐피탈,809337,,B+,,,2019,금융회사
148, 하나투어,039130,B,B,B,C이하,2019,
147, 하림,136480,B,B+,B+,C이하,2019,
146, 하림지주,003380,B,B+,B,C이하,2019,
145, 하이스틸,071090,C이하,C,C이하,C이하,2019,
144, 하이투자증권,814270,,A,,,2019,금융회사
143, 하이트론씨스템즈,019490,C이하,B,C이하,C이하,2019,
142, 하이트진로,000080,B,B,B+,B,2019,
141, 하이트진로홀딩스,000140,B,B,B+,C이하,2019,
140, 한국가스공사,036460,A,B+,A+,B+,2019,
139, 한국공항,005430,B,B,B,C이하,2019,
138, 한국금융지주,071050,B,B+,B+,C이하,2019,금융회사
137, 한국내화,010040,C이하,D,C이하,C이하,2019,
136, 한국단자공업,025540,C이하,C,C이하,C이하,2019,
135, 한국석유공업,004090,C이하,B,B,C이하,2019,
134, 한국수출포장공업,002200,C이하,C,C이하,B+,2019,
133, 한국쉘석유,002960,C이하,B+,C이하,C이하,2019,
132, 한국스탠다드차타드은행,000110,,A+,,,2019,금융회사
131, 한국자산신탁,123890,C이하,C이하,C이하,C이하,2019,금융회사
130, 한국전력공사,015760,B+,B+,B+,B,2019,
129, 한국전자홀딩스,006200,B,B,B,C이하,2019,
128, 한국정보통신,025770,C이하,B,C이하,C이하,2019,
127, 한국제지,002300,B+,B,B+,B+,2019,
126, 한국종합기술,023350,B,B+,C이하,B,2019,
125, 한국주강,025890,C이하,C,C이하,C이하,2019,
124, 한국주철관공업,000970,C이하,B,C이하,C이하,2019,
123, 한국철강,104700,B,B+,C이하,B+,2019,
122, 한국카본,017960,B,B,B,B,2019,
121, 한국카카오은행,800197,,B+,,,2019,금융회사
120, 한국캐피탈,023760,C이하,C이하,C이하,C이하,2019,금융회사
119, 한국콜마,161890,B,B,B,B,2019,
118, 한국콜마홀딩스,024720,B+,B+,B,B,2019,
117, 한국타이어,161390,B+,B,A+,A,2019,
116, 한국테크놀로지그룹,000240,B+,B,A+,B+,2019,
115, 한국토지신탁,034830,C이하,C이하,C이하,C이하,2019,금융회사
114, 한국투자증권,804504,,B,,,2019,금융회사
113, 한국프랜지공업,010100,C이하,C,B,B,2019,
112, 한국항공우주,047810,A,A,A+,B+,2019,
111, 한국화장품,123690,B,B,B,C이하,2019,
110, 한국화장품제조,003350,C이하,C,B,C이하,2019,
109, 한농화성,011500,B,B,C이하,B,2019,
108, 한독,002390,B+,B+,B+,B+,2019,
107, 한라,014790,B,B,B,B,2019,
106, 한라홀딩스,060980,B+,B+,B+,B,2019,
105, 한미글로벌,053690,B+,B+,B,B,2019,
104, 한미반도체,042700,C이하,B,C이하,C이하,2019,
103, 한미사이언스,008930,C이하,D,A,B,2019,
102, 한미약품,128940,B+,B,A+,B+,2019,
101, 한샘,009240,B+,B+,B+,B,2019,
100, 한섬,020000,B,B+,A,C이하,2019,
99, 한성기업,003680,C이하,C,B,C이하,2019,
98, 한세실업,105630,B,B+,B,C이하,2019,
97, 한세엠케이,069640,C이하,B+,C이하,C이하,2019,
96, 한세예스24홀딩스,016450,B,B,B,C이하,2019,
95, 한솔로지스틱스,009180,B+,A,B+,B,2019,
94, 한솔시큐어,070300,B,B+,B,C이하,2019,
93, 한솔씨앤피,221610,C이하,C,C이하,B,2019,
92, 한솔인티큐브,070590,B,B,B,B,2019,
91, 한솔제지,213500,A,A,A,A,2019,
90, 한솔케미칼,014680,C이하,C,B,B,2019,
89, 한솔테크닉스,004710,B+,A,B+,B,2019,
88, 한솔피엔에스,010420,B,B+,B+,C이하,2019,
87, 한솔홀딩스,004150,B+,A,B+,B,2019,
86, 한솔홈데코,025750,A,A,B+,B+,2019,
85, 한신공영,004960,C이하,B,C이하,C이하,2019,
84, 한신기계공업,011700,B,B,C이하,B,2019,
83, 한양증권,001750,C이하,C이하,B+,C이하,2019,금융회사
82, 한온시스템,018880,B+,B+,B+,B+,2019,
81, 한올바이오파마,009420,B,B+,B+,C이하,2019,
80, 한익스프레스,014130,B,B,B,B,2019,
79, 한일철강,002220,C이하,C,C이하,C이하,2019,
78, 한일현대시멘트,006390,B,B,B,B,2019,
77, 한일홀딩스,003300,C이하,B,B+,C이하,2019,
76, 한전KPS,051600,B+,B+,B+,B+,2019,
75, 한전기술,052690,B+,B+,A,B+,2019,
74, 한전산업,130660,B,B,B+,B+,2019,
73, 한진,002320,B,B,B,B,2019,
72, 한진중공업,097230,C이하,B,C이하,C이하,2019,
71, 한진중공업홀딩스,003480,C이하,B,C이하,C이하,2019,
70, 한진칼,180640,C이하,C,A,B,2019,
69, 한창,005110,C이하,D,C이하,C이하,2019,
68, 한창제지,009460,C이하,D,B,B,2019,
67, 한화,000880,B+,A,B+,B,2019,
66, 한화갤러리아타임월드,027390,B+,B+,A,B+,2019,
65, 한화생명,088350,B+,B,A,B+,2019,금융회사
64, 한화손해보험,000370,B+,B+,A,C이하,2019,금융회사
63, 한화에어로스페이스,012450,B+,A,B+,B+,2019,
62, 한화케미칼,009830,B,B+,A,C이하,2019,
61, 한화투자증권,003530,B,B,A,C이하,2019,금융회사
60, 해성디에스,195870,A,A,A,A,2019,
59, 해태제과식품,101530,B,B+,B+,C이하,2019,
58, 핸즈코퍼레이션,143210,B,B+,B,B,2019,
57, 헬릭스미스,084990,C이하,B,C이하,C이하,2019,
56, 현대건설,000720,A,B+,A,A,2019,
55, 현대건설기계,267270,B+,A,B+,C이하,2019,
54, 현대그린푸드,005440,A,A,A,B,2019,
53, 현대글로비스,086280,A,A,A,A,2019,
52, 현대로템,064350,B+,B+,A,B,2019,
51, 현대리바트,079430,A,A,A,B,2019,
50, 현대모비스,012330,A,B+,A+,A,2019,
49, 현대미포조선,010620,B+,B,A,B,2019,
48, 현대백화점,069960,A,A,A+,B,2019,
47, 현대비앤지스틸,004560,B+,B,A,B+,2019,
46, 현대상선,011200,B+,B+,B+,B+,2019,
45, 현대약품,004310,B,B,B+,B,2019,
44, 현대에이치씨엔,126560,B+,B+,A,C이하,2019,
43, 현대엘리베이터,017800,B+,B+,B+,B+,2019,
42, 현대위아,011210,B+,B+,A,B,2019,
41, 현대일렉트릭,267260,B+,B+,A,B,2019,
40, 현대자동차,005380,B+,B,A,A,2019,
39, 현대제철,004020,B+,B+,A,B+,2019,
38, 현대종합상사,011760,B,B+,C이하,C이하,2019,
37, 현대중공업,009540,A,A,B+,A,2019,
36, 현대중공업지주,267250,A,B+,A+,B+,2019,
35, 현대차증권,001500,B+,B+,A,C이하,2019,금융회사
34, 현대카드,815419,,A,,,2019,금융회사
33, 현대캐피탈,836248,,A+,,,2019,금융회사
32, 현대커머셜,888975,,A,,,2019,금융회사
31, 현대코퍼레이션홀딩스,227840,C이하,B,C이하,C이하,2019,
30, 현대해상,001450,A,A,A+,A,2019,금융회사
29, 현대홈쇼핑,057050,A,A,A,B,2019,
28, 형지엘리트,093240,C이하,C,B,C이하,2019,
27, 혜인,003010,C이하,C,B,B,2019,
26, 호전실업,111110,B,B+,B,C이하,2019,
25, 호텔신라,008770,A,A,A,A,2019,
24, 화성산업,002460,B,B+,B,C이하,2019,
23, 화승알앤에이,013520,B+,B+,B+,B+,2019,
22, 화승엔터프라이즈,241590,B,B+,B,C이하,2019,
21, 화승인더스트리,006060,B,B+,B,B,2019,
20, 화신,010690,C이하,C,B,C이하,2019,
19, 화인베스틸,133820,B,B+,C이하,B,2019,
18, 화천기계,010660,C이하,C,C이하,B,2019,
17, 화천기공,000850,C이하,B,B,C이하,2019,
16, 환인제약,016580,B,B+,B,C이하,2019,
15, 황금에스티,032560,C이하,C,C이하,C이하,2019,
14, 효성,004800,C이하,D,B,B,2019,
13, 효성 ITX,094280,B,B,B+,C이하,2019,
12, 후성,093370,B,B,C이하,B,2019,
11, 휠라코리아,081660,C이하,C,B,C이하,2019,
10, 휴니드테크놀러지스,005870,B,B+,B,C이하,2019,
9, 휴비스,079980,B,B,B,B,2019,
8, 휴스틸,005010,B,B,C이하,B,2019,
7, 휴온스,243070,B,B,B+,C이하,2019,
6, 휴온스글로벌,084110,B,B+,B+,C이하,2019,
5, 휴젤,145020,C이하,B,C이하,C이하,2019,
4, 휴켐스,069260,B,B,B+,B,2019,
3, 흥국생명보험,818586,,C이하,,,2019,금융회사
2, 흥국화재,000540,B,B,B,C이하,2019,금융회사
1, 흥아해운,003280,C이하,B,C이하,C이하,2019,
